TRAMO CARRETERO,TIPO,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
REFINERIA LAZARO CARDENAS,PUENTES NACIONALES,2022,54303,55203,64660,55358,65260,63448,61282,84953,89866,112444,162907,183437
MATAMOROS,PUENTES INTERNACIONALES,2022,2786707,2707779,3046351,3144265,3085155,2920065,2955068,3044955,3022356,3129456,2997789,3291197
CAMARGO,PUENTES INTERNACIONALES,2022,935552,882066,1008118,1047872,1064397,926474,983648,1016389,1029519,1043843,1056035,1113956
MIGUEL ALEMAN,PUENTES INTERNACIONALES,2022,1440186,1404992,1549885,1615027,1610624,1403347,1418162,1509026,1602955,1656144,1620897,1704868
REYNOSA,PUENTES INTERNACIONALES,2022,3641295,3479783,4077095,4014021,3851972,3677850,3929106,4548248,4376029,4480962,4408701,4811835
LÍNEA EXPRESS,PUENTES INTERNACIONALES,2022,4727403,3093806,3628121,3246100,3109036,1963956,1999865,2600385,2493275,4406148,8578428,2345535
LAS FLORES,PUENTES INTERNACIONALES,2022,1710220,1682186,2002876,1919800,1778167,1663309,1791434,1691592,1714493,1779128,1778132,2065610
OJINAGA,PUENTES INTERNACIONALES,2022,1300640,1133842,1364071,1346830,1394743,1346861,1461607,1404650,1338392,1422504,1437002,1488300
RODOLFO ROBLES,PUENTES INTERNACIONALES,2022,471962,438495,493114,480666,499097,526198,563670,558480,536447,587414,596626,698252
PIEDRAS NEGRAS,PUENTES INTERNACIONALES,2022,2652563,2505305,3005944,2946954,2808028,2741346,2969127,2898231,2958818,3042484,2715764,2792740
ACUÑA,PUENTES INTERNACIONALES,2022,3444369,3271286,3843051,3604543,3696511,3477669,3608662,3694385,3615758,3820114,3759209,3793504
LAREDO,PUENTES INTERNACIONALES,2022,741934,730108,832360,883298,840978,809692,832719,878852,871320,950403,941710,1026179
LÍNEA EXPRESS,PUENTES INTERNACIONALES,2022,6633491,4628017,5261231,3719754,4248859,3134607,3353531,4477296,4233926,6289400,10359416,3012505
JUÁREZ – LINCOLN,PUENTES INTERNACIONALES,2022,6043010,5509588,6220048,6238474,6503795,6168321,6440966,6512159,6398074,6356218,6239261,6713878
SUCHIATE II  ,PUENTES INTERNACIONALES,2022,705381,733303,881636,717591,797043,828353,797416,845490,772422,813873,638558,856410
CHAPALILLA - COMPOSTELA,CAMINOS,2023,7994445,7127594,8383074,10467750,9160770,8994610,10679461,10324016,8034434,8259178,8827009,9868499
CUAUHTEMOC - ENT. OSIRIS,CAMINOS,2023,14042527,13117340,14884505,14942284,15469075,14439807,16712042,13912975,12581519,12540844,13213466,16008197
CULIACÁN,PUENTES NACIONALES,2023,5691135,6036139,6925365,6592269,6795765,6490096,7196134,6991137,6526582,6707226,7292786,7983837
SINALOA,PUENTES NACIONALES,2023,16120952,15394630,17460464,16671095,15946594,15087034,16790053,16331145,15430275,15856737,16447576,18443624
PÁNUCO,PUENTES NACIONALES,2023,4051853,3445723,3807929,3793934,3795251,3647485,4224922,4159671,3757395,3821881,3971684,4427136
ALVARADO,PUENTES NACIONALES,2023,3894432,3414438,3762889,4151345,3876897,3565601,4293226,4245928,3678629,3720068,3689388,4639796
PAPALOAPAN,PUENTES NACIONALES,2023,2130459,1841082,1974440,1919815,2030252,1973135,1921048,1918938,1701903,1727291,1848539,2402184
CARACOL,PUENTES NACIONALES,2023,5973476,5534484,6209132,6055861,6101237,5777135,6426781,6349898,5913385,6145909,6205730,6796472
NAUTLA,PUENTES NACIONALES,2023,2836627,2536885,2922885,3040368,2972139,2853272,3273859,3342566,2990291,2851495,2835172,3054189
GRIJALVA,PUENTES NACIONALES,2023,15019562,13694463,16123794,15916559,16517908,15739881,17220433,17794003,16568165,17664199,16758089,17788283
USUMACINTA,PUENTES NACIONALES,2023,6218154,5751853,6744977,6905597,6900732,6878333,7819176,8289928,7757171,8647886,8467762,8478516
CADEREYTA,PUENTES NACIONALES,2023,2414082,2228152,2518980,2463417,2663964,2587694,2740366,2732974,2668761,2672631,2643322,2912147
LA PIEDAD,PUENTES NACIONALES,2023,1669775,1482747,1648596,1537229,1629806,1600191,1748658,1684992,1633715,1735584,1758879,1928705
TECOLUTLA,PUENTES NACIONALES,2023,3247035,2900950,3397630,3592611,3402232,3227420,3863695,3805891,3403992,3196170,3198698,3593739
SAN JUAN,PUENTES NACIONALES,2023,1634603,1536157,1743635,1581962,1709485,1688495,1777187,1874412,1875062,1946681,1808081,1737394
TAMPICO,PUENTES NACIONALES,2023,10186394,11413799,12961022,13776372,10051903,9056006,11193953,10992681,9430012,9146038,9037122,11186871
